date,open,high,low,close,volume,adjusted
2019-02-05,NA,NA,NA,NA,NA,NA
2019-02-06,NA,NA,NA,NA,NA,NA
2019-02-07,NA,NA,NA,NA,NA,NA
2019-02-08,NA,NA,NA,NA,NA,NA
2019-02-11,NA,NA,NA,NA,NA,NA
2019-02-12,NA,NA,NA,NA,NA,NA
2019-02-13,NA,NA,NA,NA,NA,NA
2019-02-14,NA,NA,NA,NA,NA,NA
2019-02-15,NA,NA,NA,NA,NA,NA
2019-02-18,NA,NA,NA,NA,NA,NA
2019-02-19,NA,NA,NA,NA,NA,NA
2019-02-20,NA,NA,NA,NA,NA,NA
2019-02-21,NA,NA,NA,NA,NA,NA
2019-02-22,NA,NA,NA,NA,NA,NA
2019-02-25,NA,NA,NA,NA,NA,NA
2019-02-26,NA,NA,NA,NA,NA,NA
2019-02-27,NA,NA,NA,NA,NA,NA
2019-02-28,NA,NA,NA,NA,NA,NA
2019-03-01,NA,NA,NA,NA,NA,NA
2019-03-04,NA,NA,NA,NA,NA,NA
2019-03-05,NA,NA,NA,NA,NA,NA
2019-03-06,NA,NA,NA,NA,NA,NA
2019-03-07,NA,NA,NA,NA,NA,NA
2019-03-08,NA,NA,NA,NA,NA,NA
2019-03-11,NA,NA,NA,NA,NA,NA
2019-03-12,NA,NA,NA,NA,NA,NA
2019-03-13,NA,NA,NA,NA,NA,NA
2019-03-14,NA,NA,NA,NA,NA,NA
2019-03-15,NA,NA,NA,NA,NA,NA
2019-03-18,NA,NA,NA,NA,NA,NA
2019-03-19,NA,NA,NA,NA,NA,NA
2019-03-20,NA,NA,NA,NA,NA,NA
2019-03-21,NA,NA,NA,NA,NA,NA
2019-03-22,NA,NA,NA,NA,NA,NA
2019-03-25,NA,NA,NA,NA,NA,NA
2019-03-26,NA,NA,NA,NA,NA,NA
2019-03-27,NA,NA,NA,NA,NA,NA
2019-03-28,NA,NA,NA,NA,NA,NA
2019-03-29,NA,NA,NA,NA,NA,NA
2019-04-01,NA,NA,NA,NA,NA,NA
2019-04-02,NA,NA,NA,NA,NA,NA
2019-04-03,NA,NA,NA,NA,NA,NA
2019-04-04,NA,NA,NA,NA,NA,NA
2019-04-05,NA,NA,NA,NA,NA,NA
2019-04-08,NA,NA,NA,NA,NA,NA
2019-04-09,NA,NA,NA,NA,NA,NA
2019-04-10,NA,NA,NA,NA,NA,NA
2019-04-11,NA,NA,NA,NA,NA,NA
2019-04-12,NA,NA,NA,NA,NA,NA
2019-04-15,NA,NA,NA,NA,NA,NA
2019-04-16,NA,NA,NA,NA,NA,NA
2019-04-17,NA,NA,NA,NA,NA,NA
2019-04-18,NA,NA,NA,NA,NA,NA
2019-04-23,NA,NA,NA,NA,NA,NA
2019-04-24,NA,NA,NA,NA,NA,NA
2019-04-25,NA,NA,NA,NA,NA,NA
2019-04-26,NA,NA,NA,NA,NA,NA
2019-04-29,NA,NA,NA,NA,NA,NA
2019-04-30,NA,NA,NA,NA,NA,NA
2019-05-02,NA,NA,NA,NA,NA,NA
2019-05-03,NA,NA,NA,NA,NA,NA
2019-05-06,NA,NA,NA,NA,NA,NA
2019-05-07,NA,NA,NA,NA,NA,NA
2019-05-08,NA,NA,NA,NA,NA,NA
2019-05-09,NA,NA,NA,NA,NA,NA
2019-05-10,NA,NA,NA,NA,NA,NA
2019-05-13,NA,NA,NA,NA,NA,NA
2019-05-14,NA,NA,NA,NA,NA,NA
2019-05-15,NA,NA,NA,NA,NA,NA
2019-05-16,NA,NA,NA,NA,NA,NA
2019-05-17,NA,NA,NA,NA,NA,NA
2019-05-20,NA,NA,NA,NA,NA,NA
2019-05-21,NA,NA,NA,NA,NA,NA
2019-05-22,NA,NA,NA,NA,NA,NA
2019-05-23,NA,NA,NA,NA,NA,NA
2019-05-24,NA,NA,NA,NA,NA,NA
2019-05-27,NA,NA,NA,NA,NA,NA
2019-05-28,NA,NA,NA,NA,NA,NA
2019-05-29,NA,NA,NA,NA,NA,NA
2019-05-31,NA,NA,NA,NA,NA,NA
2019-06-03,NA,NA,NA,NA,NA,NA
2019-06-04,NA,NA,NA,NA,NA,NA
2019-06-05,NA,NA,NA,NA,NA,NA
2019-06-06,NA,NA,NA,NA,NA,NA
2019-06-07,NA,NA,NA,NA,NA,NA
2019-06-11,NA,NA,NA,NA,NA,NA
2019-06-12,NA,NA,NA,NA,NA,NA
2019-06-13,NA,NA,NA,NA,NA,NA
2019-06-14,NA,NA,NA,NA,NA,NA
2019-06-17,NA,NA,NA,NA,NA,NA
2019-06-18,NA,NA,NA,NA,NA,NA
2019-06-19,NA,NA,NA,NA,NA,NA
2019-06-20,NA,NA,NA,NA,NA,NA
2019-06-21,NA,NA,NA,NA,NA,NA
2019-06-24,NA,NA,NA,NA,NA,NA
2019-06-25,NA,NA,NA,NA,NA,NA
2019-06-26,NA,NA,NA,NA,NA,NA
2019-06-27,NA,NA,NA,NA,NA,NA
2019-06-28,NA,NA,NA,NA,NA,NA
2019-07-01,NA,NA,NA,NA,NA,NA
2019-07-02,NA,NA,NA,NA,NA,NA
2019-07-03,NA,NA,NA,NA,NA,NA
2019-07-04,NA,NA,NA,NA,NA,NA
2019-07-05,NA,NA,NA,NA,NA,NA
2019-07-08,NA,NA,NA,NA,NA,NA
2019-07-09,NA,NA,NA,NA,NA,NA
2019-07-10,NA,NA,NA,NA,NA,NA
2019-07-11,NA,NA,NA,NA,NA,NA
2019-07-12,NA,NA,NA,NA,NA,NA
2019-07-15,NA,NA,NA,NA,NA,NA
2019-07-16,NA,NA,NA,NA,NA,NA
2019-07-17,NA,NA,NA,NA,NA,NA
2019-07-18,NA,NA,NA,NA,NA,NA
2019-07-19,NA,NA,NA,NA,NA,NA
2019-07-22,NA,NA,NA,NA,NA,NA
2019-07-23,NA,NA,NA,NA,NA,NA
2019-07-24,NA,NA,NA,NA,NA,NA
2019-07-25,NA,NA,NA,NA,NA,NA
2019-07-26,19.364,19.364,19.364,19.364,0,19.364
2019-07-29,NA,NA,NA,NA,NA,NA
2019-07-30,NA,NA,NA,NA,NA,NA
2019-07-31,NA,NA,NA,NA,NA,NA
2019-08-02,NA,NA,NA,NA,NA,NA
2019-08-05,NA,NA,NA,NA,NA,NA
2019-08-06,NA,NA,NA,NA,NA,NA
2019-08-07,NA,NA,NA,NA,NA,NA
2019-08-08,NA,NA,NA,NA,NA,NA
2019-08-09,NA,NA,NA,NA,NA,NA
2019-08-12,NA,NA,NA,NA,NA,NA
2019-08-13,NA,NA,NA,NA,NA,NA
2019-08-14,NA,NA,NA,NA,NA,NA
2019-08-15,NA,NA,NA,NA,NA,NA
2019-08-16,NA,NA,NA,NA,NA,NA
2019-08-19,NA,NA,NA,NA,NA,NA
2019-08-20,NA,NA,NA,NA,NA,NA
2019-08-21,NA,NA,NA,NA,NA,NA
2019-08-22,NA,NA,NA,NA,NA,NA
2019-08-23,NA,NA,NA,NA,NA,NA
2019-08-26,NA,NA,NA,NA,NA,NA
2019-08-27,NA,NA,NA,NA,NA,NA
2019-08-28,NA,NA,NA,NA,NA,NA
2019-08-29,NA,NA,NA,NA,NA,NA
2019-08-30,NA,NA,NA,NA,NA,NA
2019-09-02,NA,NA,NA,NA,NA,NA
2019-09-03,NA,NA,NA,NA,NA,NA
2019-09-04,NA,NA,NA,NA,NA,NA
2019-09-05,NA,NA,NA,NA,NA,NA
2019-09-06,NA,NA,NA,NA,NA,NA
2019-09-09,NA,NA,NA,NA,NA,NA
2019-09-10,NA,NA,NA,NA,NA,NA
2019-09-11,NA,NA,NA,NA,NA,NA
2019-09-12,NA,NA,NA,NA,NA,NA
2019-09-13,NA,NA,NA,NA,NA,NA
2019-09-16,NA,NA,NA,NA,NA,NA
2019-09-17,19.375999,19.375999,19.375999,19.375999,0,19.375999
2019-09-18,19.379999,19.379999,19.379999,19.379999,0,19.379999
2019-09-19,19.236,19.236,19.236,19.236,0,19.236
2019-09-20,19.24,19.24,19.24,19.24,0,19.24
2019-09-23,NA,NA,NA,NA,NA,NA
2019-09-24,NA,NA,NA,NA,NA,NA
2019-09-25,NA,NA,NA,NA,NA,NA
2019-09-26,NA,NA,NA,NA,NA,NA
2019-09-27,NA,NA,NA,NA,NA,NA
2019-09-30,NA,NA,NA,NA,NA,NA
2019-10-01,NA,NA,NA,NA,NA,NA
2019-10-02,NA,NA,NA,NA,NA,NA
2019-10-03,NA,NA,NA,NA,NA,NA
2019-10-04,NA,NA,NA,NA,NA,NA
2019-10-07,NA,NA,NA,NA,NA,NA
2019-10-08,NA,NA,NA,NA,NA,NA
2019-10-09,NA,NA,NA,NA,NA,NA
2019-10-10,NA,NA,NA,NA,NA,NA
2019-10-11,NA,NA,NA,NA,NA,NA
2019-10-14,NA,NA,NA,NA,NA,NA
2019-10-15,NA,NA,NA,NA,NA,NA
2019-10-16,NA,NA,NA,NA,NA,NA
2019-10-17,NA,NA,NA,NA,NA,NA
2019-10-18,NA,NA,NA,NA,NA,NA
2019-10-21,NA,NA,NA,NA,NA,NA
2019-10-22,NA,NA,NA,NA,NA,NA
2019-10-23,NA,NA,NA,NA,NA,NA
2019-10-24,19.24,19.24,19.24,19.24,0,19.24
2019-10-25,19.243999,19.243999,19.243999,19.243999,0,19.243999
